Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1018¿VariableDeclarator¿¿1668¿v79¿¿¿{"start":{"line":14,"column":81},"end":{"line":14,"column":107},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
1019¿CallExpression¿¿1668¿¿¿¿{"start":{"line":14,"column":81},"end":{"line":14,"column":107},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
1020¿MemberExpression¿¿1668¿¿¿¿{"start":{"line":14,"column":81},"end":{"line":14,"column":92},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿MemberExpression
1021¿Identifier¿¿1668¿vodId¿¿¿{"start":{"line":14,"column":81},"end":{"line":14,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
1022¿Identifier¿¿1668¿match¿¿¿{"start":{"line":14,"column":87},"end":{"line":14,"column":92},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
1023¿Literal¿object¿1668¿¿/^[0-9a-z]+$/¿¿{"start":{"line":14,"column":93},"end":{"line":14,"column":106},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
1024¿VariableDeclarator¿¿1668¿v80¿¿¿{"start":{"line":14,"column":80},"end":{"line":14,"column":107},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
1025¿UnaryExpression¿!¿1668¿¿¿¿{"start":{"line":14,"column":80},"end":{"line":14,"column":107},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿UnaryExpression
1026¿Identifier¿¿1668¿v79¿¿¿¿¿Identifier
1027¿VariableDeclarator¿¿1668¿v81¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":107},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
1028¿LogicalExpression¿||¿1668¿¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":107},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿LogicalExpression
1029¿Identifier¿¿1668¿v78¿¿¿¿¿Identifier
1030¿Identifier¿¿1668¿v80¿¿¿¿¿Identifier
1031¿IfStatement¿¿1668¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿IfStatement
1032¿Identifier¿¿1668¿v81¿¿¿¿¿Identifier
1033¿VariableDeclarator¿¿1668¿v82¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":118},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
1034¿CallExpression¿¿1668¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":118},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
1035¿MemberExpression¿¿1668¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿MemberExpression
1036¿Identifier¿¿1668¿logger¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
1037¿Identifier¿¿1668¿error¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
1038¿Literal¿string¿1668¿¿'Client ID, client secret, and VOD ID must be purely alphanumeric. Twitch chat download failed!'¿¿{"start":{"line":15,"column":21},"end":{"line":15,"column":117},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
1039¿ExpressionStatement¿¿1668¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":119},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿ExpressionStatement
1040¿Identifier¿¿1668¿v82¿¿¿¿¿Identifier
1041¿ReturnStatement¿¿1668¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿ReturnStatement
1042¿Literal¿object¿1668¿¿null¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
1043¿BlockStatement¿¿1668¿¿¿¿{"start":{"line":14,"column":109},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿BlockStatement
1044¿VariableDeclarator¿¿1668¿v83¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":133},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
1045¿TemplateLiteral¿¿1668¿¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":133},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿TemplateLiteral
1046¿Identifier¿¿1668¿vodId¿¿¿{"start":{"line":19,"column":45},"end":{"line":19,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
1047¿Identifier¿¿1668¿clientID¿¿¿{"start":{"line":19,"column":66},"end":{"line":19,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
1048¿Identifier¿¿1668¿clientSecret¿¿¿{"start":{"line":19,"column":94},"end":{"line":19,"column":106},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
1049¿VariableDeclarator¿¿1668¿v84¿¿¿{"start":{"line":19,"column":142},"end":{"line":19,"column":149},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
1050¿ArrayExpression¿¿1668¿¿¿¿{"start":{"line":19,"column":142},"end":{"line":19,"column":149},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿ArrayExpression
1051¿Literal¿number¿1668¿¿0¿¿{"start":{"line":19,"column":143},"end":{"line":19,"column":144},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
1052¿Literal¿number¿1668¿¿1¿¿{"start":{"line":19,"column":145},"end":{"line":19,"column":146},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
1053¿Literal¿number¿1668¿¿2¿¿{"start":{"line":19,"column":147},"end":{"line":19,"column":148},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
1054¿VariableDeclarator¿¿1668¿v85¿¿¿{"start":{"line":19,"column":135},"end":{"line":19,"column":150},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
1055¿ObjectExpression¿¿1668¿¿¿¿{"start":{"line":19,"column":135},"end":{"line":19,"column":150},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿ObjectExpression
